"ID","Description","RootCause","Fix","AntiPattern","Phase","DateFixed"
"BUG-112","Calendar quarter IS losses wrongly computed from WP instead of EP after BUG-111","BUG-111 reverted G_Ult to WP-based (m_cumUlt) to fix BS imbalance but this made Q1Y1 show Ult=200k (WP x ELR) instead of 25k (EP x ELR). Calendar quarter financials must show EP-based losses. The correct fix: make ALL Detail output metrics use EP-based cumulative so BS and IS are internally consistent.","Changed G_Ult, C_Ult, IBNR, Unpaid, and all count equivalents to EP-based (m_cumEpUlt). Changed tail closure to close to EP-based ultimate. Same for ceded (QS) block. WP-based m_cumUlt retained only for DevelopLosses curve accumulation. BS balances because IS losses and BS reserves both use EP-based ultimate.","","Phase 12B","2026-04-02"
"BUG-113","BS $2023 imbalance from EP spillover not captured in EP-based ultimate","m_epUltMon was computed inside ComputeUltimates gated by If m_wpMon(p,ep)=0 Then Skip. For months where WP=0 but EP>0 (earning spillover from prior months with 12-month terms), the EP had no corresponding EP-based ultimate. m_cumEpUlt carried forward the incomplete total. With 60-month horizon and 12-month terms, months 61-72 have EP from WP written in months 49-60 but m_epUltMon was zero. This created a $2023 gap.","Moved m_epUltMon computation to a separate pass after all layers using blended ELR (total WP-ult / total WP). Applied to ALL months with EP including spillover. Expanded m_epUltMon array from 120 to 480. Removed m_horizon gate from cumulative EP-ult accumulation. QS EP-ult computed from gross EP-ult * QS ratio per calendar month.","","Phase 12B","2026-04-02"
"BUG-114","BS $2023 persists: devEnd too short to include EP spillover months on Detail","BUG-113 computed m_epUltMon for spillover months 61-72 but devEnd was floored at m_horizon (60). DevelopLosses and WriteOutputs loop cm=1 to devEnd, so months 61-72 never made it to the Detail tab. Cumulative EP-ult at month 60 was missing the spillover. IS accumulated only through month 60 while BS UPR captured the full WP-EP gap. Mismatch persisted.","Changed devEnd floor from m_horizon to m_horizon + m_progTerm(p). For 12-month term programs, devEnd >= 72, ensuring all EP spillover months appear on the Detail tab. Also fixed m_epUltMon spillover range to use actual program term instead of hardcoded +12.","","Phase 12B","2026-04-02"
"BUG-115","E-800 NumberFormat error aborts all formula tab creation causing #REF cascade","CreateFormulaTabs had On Error GoTo ErrHandler at the top. Any error in the config row processing loop (e.g. Unable to set NumberFormat on a merged or protected cell) jumped to ErrHandler which exited the entire sub. All tabs after the failing row got no formulas, causing #REF! on Investments, IS, BS, CFS. The specific NumberFormat error was pre-existing but became visible when the cascade broke downstream tests.","Added On Error Resume Next within the config row loop (per-row error recovery). Errors are logged as W-800 warnings with tab/rowID context and processing continues to the next row. On Error GoTo ErrHandler restored after the loop for non-row errors. One bad cell no longer kills all formula tabs.","AP-46","Phase 12B","2026-04-02"
"BUG-116","UW Program Detail Paid/CI 10x too high: WP-based development mixed with EP-based Ult","DevelopLosses accumulated Paid and CI using WP-based m_ultMon * CDF but G_Ult used EP-based m_cumEpUlt. Q1Y1 showed Paid=101,744 (WP development on 1M) but Ult=25,000 (EP on 125k). IBNR = Ult-CI = 25k-191k = -166k (negative nonsense). All Detail metrics must use the same EP basis.","INITIAL FIX (epScale) was a band-aid that created inconsistency between CSV, Detail, and Triangles. Superseded by BUG-117.","","Phase 12B","2026-04-02"
"BUG-117","Root cause fix: m_ultMon changed from WP-based to EP-based, eliminating all band-aids","Multiple band-aid fixes (BUG-105 through BUG-116) tried to reconcile WP-based m_ultMon with EP-based financial statements using epScale ratios, blendedELR, parallel EP arrays (m_cumEpUlt, m_qsEpUlt, m_epUltMon). This created inconsistencies between the CSV, Detail tab, and Triangles -- each computed development differently. The CSV showed WP-based values while Detail showed EP-scaled values.","Changed m_ultMon = m_epMon * ELR (was m_wpMon * ELR). EP is now the single source of truth. All development (Paid, CI, counts) = m_ultMon * CDF directly. No epScale, no parallel EP arrays, no blendedELR. CSV, Detail, QuarterlySummary, and Triangles all derive from the same m_ultMon * CDF computation. Removed m_cumEpUlt, m_qsEpUlt, m_epUltMon, m_epCntUltMon arrays and all associated code.","","Phase 12B","2026-04-02"
"BUG-118","Compile error: Type mismatch on Array() passed to RunExtensions ByRef outputs() As Variant","PostBootstrap extension dispatch in KernelBootstrap passed Array() (empty Variant) as second arg to KernelExtension.RunExtensions which expects ByRef outputs() As Variant. VBA cannot coerce an empty Array() literal to a typed Variant array parameter.","Replaced Array() with a properly declared and ReDim-ed Variant array: Dim bootOutputs() As Variant / ReDim bootOutputs(0).","","Domain Separation","2026-04-02"
"BUG-119","Compile error: Label not defined (ErrHandler) in SetupDashboardTab","Config-driven DashboardButton code in SetupDashboardTab used On Error GoTo ErrHandler after On Error Resume Next. ErrHandler is a label in BootstrapWorkbook, not in SetupDashboardTab. VBA compile error: Label not defined.","Changed On Error GoTo ErrHandler to On Error GoTo 0 (restore default error handling within SetupDashboardTab scope).","","Domain Separation","2026-04-02"
"BUG-127","Save/Load and Export Report buttons error: macro not found in KernelFormSetup","button_config.csv referenced KernelFormSetup.ShowWorkspaceExplorer and KernelFormSetup.ShowReportExplorer but these functions are in KernelFormHelpers, not KernelFormSetup.","Fixed button_config.csv macro names: KernelFormSetup -> KernelFormHelpers.","","Dashboard Config","2026-04-03"
"BUG-134","Regression test does not load golden inputs - compares current state only","KernelWorkspace.ExportStateToFolder did not call KernelTabIO.ExportAllInputTabs. The input_tabs/ folder was never created in workspace versions. hasGoldenInputs check on line 373 returned False, so the regression test skipped loading golden inputs and re-running, and just compared the current Detail tab against the golden (which was different because current inputs differed).","Added KernelTabIO.ExportAllInputTabs verDir call to ExportStateToFolder in KernelWorkspace.bas. New saves now include input_tabs/ folder. Must re-save golden baseline for full regression to work.","","Regression Testing","2026-04-03"
"BUG-133","Compile error in CompareTabToCSV: duplicate Dim cStr + non-ASCII em-dash","Two issues: (1) Added cStr2 variable but left original Dim cStr As String, causing duplicate variable in same scope. (2) Comment on line 504 had UTF-8 em-dash character (non-ASCII) that fails VBA import.","(1) Removed Dim cStr, reused cStr2 for string comparison. (2) Replaced em-dash with -- in comment.","AP-06","Regression Testing","2026-04-03"
"BUG-132","ScanForFormulaErrors false positive on clean model — all tabs flagged as having errors","SpecialCells(xlCellTypeFormulas, xlErrors) throws Error 1004 when no error cells exist. Under On Error Resume Next, the error was swallowed but the subsequent For Each loop iterated undefined state, causing errCount to increment. Every tab was flagged.","Replaced For Each loop with Set errCells = SpecialCells(...) + Err.Number check. If Err.Number=0 and errCells is not Nothing, tab has errors. Err.Clear between tabs.","","Regression Testing","2026-04-03"
"BUG-131","LINT-12 CRLF error on KernelButtons.bas","New file created with LF-only line endings by Write tool.","Applied sed CRLF conversion.","AP-06","File Formatting","2026-04-03"
"BUG-130","4 lint failures (CRLF + non-ASCII) are stale VBA module imports, not code bugs","Lint reads from VBA project modules inside the workbook, not from .bas files on disk. The .bas files were fixed (CRLF + no non-ASCII) but the workbook still has the old imported versions. Re-running Setup.bat re-imports all .bas files and clears the lint errors.","No code fix. Re-run Setup.bat to re-import clean .bas files. Documented as stale-import artifact.","","Lint","2026-04-03"
"BUG-129","Workspace version metadata (Last Run, Duration) empty in WorkspaceExplorer","Existing workspace versions saved before the lastRunAt/runDuration fields were added to WriteManifestJson have no run metadata. ReadJsonField returns empty string for missing fields. Not a code bug -- data simply not present in old manifests. New saves will include the fields.","No code fix needed. Documented as expected behavior for pre-enhancement versions. Re-saving populates the fields.","","Workspace","2026-04-03"
"BUG-128","LINT-12 CRLF errors on DomainEngine.bas, Ins_Presentation.bas, KernelTabIO.bas","Files created by Write tool had LF-only line endings. VBA import requires CRLF.","Applied sed CRLF conversion to all 3 files.","AP-06","File Formatting","2026-04-03"
"BUG-126","Curve Reference tab shows identical values across all Trend Levels","CurveRefPct UDF formulas with constant arguments (e.g., =CurveRefPct(Property,Paid,10,1)) not recalculating after bootstrap. All TLs show TL50 values. Config and interpolation code identical to working version. Suspected cause: VBA UDFs with all-constant arguments may cache results and not recalculate without explicit CalculateFull.","Added Application.CalculateFull at end of BootstrapWorkbook after ScreenUpdating restored. Forces all UDF formulas to evaluate with correct parameters.","","Curve Regression","2026-04-03"
"BUG-125","Compile error: ByRef argument type mismatch on btnHeight in CreateButtonsFromConfig","CreateButtonsFromConfig declared btnHeight As Long but AddMacroButton expects btnHeight As Double. VBA cannot pass Long ByRef to Double parameter.","Changed Dim btnHeight As Long to Dim btnHeight As Double.","","Dashboard Config","2026-04-03"
"BUG-124","Snapshot Load does not restore UW Inputs or any formula-driven input tab data","ExportInputsToFile only exported parameters from input_schema (FederalTaxRate, ScenarioName). It did not capture UW Inputs, Capital Activity, Investments, Staffing Expense, or any other input tab data. LoadSnapshot restored only 2 values on Assumptions; all actual model inputs were unchanged.","Created KernelTabIO.bas module with ExportAllInputTabs/ImportAllInputTabs. These read tab_registry for Category=Input tabs, export each tab's used range as CSV to input_tabs/ subfolder, and restore via batch array write. Wired into SaveSnapshot, LoadSnapshot, and LoadSnapshotInputsOnly. Split from KernelSnapshot to stay under 64KB.","","Architecture Upgrade","2026-04-03"
"BUG-123","Entity names overwrite FederalTaxRate on Assumptions tab after Assumptions cleanup","InsuranceDomainEngine.Initialize line 141 wrote program names to row 3 of the input tab (GetInputsTabName=Assumptions). After removing EntityName from input_schema and moving FederalTaxRate to row 3, entity names overwrote the tax rate. Also GetEntityName fallback read row 3 of Assumptions (wrong tab entirely). Also DetectEntityCount used MaxEntities=10 blindly instead of counting actual programs.","(1) Removed BUG-062 entity name write from InsuranceDomainEngine.Initialize. (2) Added EntitySourceTab and EntitySourceRow to granularity_config (UW Inputs, row 6). (3) GetEntityName reads from EntitySourceTab/Row. (4) DetectEntityCount counts non-empty names from EntitySourceTab. (5) WriteRunMetadataTab uses EntitySourceTab for BU lookup.","","Architecture Upgrade","2026-04-03"
"BUG-122","CTRL_FedTaxRate named range resolves to entity name instead of tax rate; #VALUE! cascade on Balance Sheet","Removed EntityName from input_schema but GenerateInputsTab still wrote Entity -> header on row 3 of Assumptions tab. FederalTaxRate (input_schema Row=3) collided with entity names written to row 3 col C. CTRL_FedTaxRate named range (Assumptions!C3) resolved to Base Case GL instead of 0.21. IS_TAX formula =MAX(0,PRETAX*CTRL_FedTaxRate) got #VALUE!. Cascaded to BS retained earnings, equity, total L&E, balance check.","(1) GenerateInputsTab now checks hasEntityParam -- skips Entity -> header when no EntityName in input_schema. (2) Number format application limited to col C for global-only tabs. (3) PopulateSampleData takes hasEntities parameter -- skips entity name columns for global tabs. (4) CTRL_Inflation named range removed (GeneralInflation was dead code).","","Architecture Upgrade","2026-04-03"
"BUG-121","Bootstrap crash at SetupSummaryStructure: Summary tab removed but step still called","Removed Summary, Exhibits, Charts, CumulativeView, Analysis from FM tab_registry but SetupSummaryStructure unconditionally accessed ThisWorkbook.Sheets(TAB_SUMMARY). Subscript out of range.","Added existence guard in SetupSummaryStructure (If wsSummary Is Nothing Then Exit Sub). Also added same guard to KernelOutput.WriteSummaryFormulas. ProtectOutputTabs already had On Error Resume Next. KernelTabs references are safe because REFRESH_PRESENTATIONS pipeline step is disabled.","","Architecture Upgrade","2026-04-03"
"BUG-120","Load Snapshot freezes Excel; Load Inputs Only does nothing visible","Three issues: (1) LoadSnapshot called LoadAllConfig at top which reads Config sheet (stale), then after config restore copied CSVs to disk but called LoadAllConfig again which still reads stale Config sheet -- never reloaded from disk. (2) No ScreenUpdating=False/Calculation=Manual, so WriteSummaryFormulas triggered massive recalc with screen painting, freezing Excel. (3) No RefreshFormulaTabs after restore, so formula tabs showed old data. LoadSnapshotInputsOnly had the same stale-config issue plus missing ScreenUpdating control.","(1) Made LoadConfigFromDisk Public so KernelSnapshot can call it after restoring CSVs to disk. Restore sequence is now: copy CSVs to disk -> LoadConfigFromDisk (disk to Config sheet) -> LoadAllConfig (Config sheet to memory). (2) Added ScreenUpdating=False and Calculation=Manual at start of both Load functions, restored at end and in ErrHandler. (3) Added RefreshFormulaTabs call after data restore in LoadSnapshot so formula tabs recalculate against restored data.","","Domain Separation","2026-04-02"
"BUG-135","RBC R4 Business Risk shows GWP*factor in Q1 then 0 for all subsequent quarters","R4 used {PREV_Q:RBC_GWP_PRIOR} for quarter-over-quarter growth. For startup with level premium, all growth is in Q1 (from 0), Q2+ shows 0 growth. Conceptually wrong: NAIC R4 is premium-based risk, not quarter-over-quarter delta. Also {PREV_Q:} Q1 resolution drops subtraction, leaving raw GWP without factor in edge cases.","Changed R4 formula from MAX(0,GWP-PREV_Q)*factor to GWP*factor. For a de novo carrier all premium is growth risk. Removed GWP_PRIOR echo row (no longer needed).","","RBC Capital Model","2026-04-03"
"BUG-136","RDK_Value UDFs return 0 -- cache never populated","ComputeToCache dispatch called InsuranceDomainEngine_FormulaAPI.ComputeToCache (wrong module name). Also, Execute passed outputs array via Application.Run which cannot pass arrays ByRef (BUG-034 pattern).","Fixed dispatch to use FormulaAPIEntry branding config. Fixed Execute to use KernelEngine.DomainOutputs handoff pattern.","","Compute Cache","2026-04-04"
"BUG-137","Reconciliation always passes even with zeros","ReconcileAgainstQS was a stub -- inner comparison loop was empty, always returned empty string (pass).","Implemented full reconciliation: scans UWEX tab rows, compares each quarterly cell to cached value, reports diffs with metric/quarter/expected/actual. $0.01 tolerance.","","Compute Cache","2026-04-04"
"BUG-138","UW Program Detail #REF! errors in formula config","Per-program formulas referenced {REF:Quarterly Summary!QS_*} but QS tab is empty in formula-driven model (populated only on Generate Detail).","Converted 110 {REF:Quarterly Summary!} references to =RDK_Value() UDF calls. Added per-entity cache entries in Ins_FormulaAPI.AggregateToUWEXCache.","","Compute Cache","2026-04-04"
"BUG-139","RDK_Value UDFs show 0 after bootstrap -- cache marked ready despite empty","RunDomainCompute fails silently (config not loaded, entity count 0, or validation fails in UDF context). m_cacheReady set to True regardless, preventing future retry. Also: bootstrap does not invalidate cache after config load.","(1) Only mark m_cacheReady=True if m_cache.Count>0. (2) Added config-readiness guard in ComputeToCache (exit if GetColumnCount=0). (3) Added KernelComputeCache.InvalidateCache call at end of bootstrap before CalculateFull.","","Compute Cache","2026-04-04"
"BUG-140","Setup option 3 hangs indefinitely during bootstrap","Timer-based debounce (50ms) failed: each UDF computation takes >50ms, so every subsequent UDF cell triggers a full domain engine recomputation. 600+ cells x 5s each = hours. Re-entry guard using Boolean flag was needed instead.","Replaced timer-based debounce with m_computing Boolean re-entry guard. First RDK_Value call sets m_computing=True, runs computation, sets m_computing=False. All subsequent UDF calls during same calc cycle see m_computing=True, skip computation, read from cache. Input hash comparison still used for detecting changes after initial computation.","","Compute Cache","2026-04-04"
"BUG-141","Setup option 3 still hangs after re-entry guard fix","ComputeInputHash() called inside RDK_Value for every UDF cell when cache is ready. Reads ~50 worksheet cells per call. 600 UDF cells x 50 reads = 30,000 worksheet reads per calc cycle just for hash comparison. Worksheet reads from UDF context are extremely slow in Excel.","Removed ComputeInputHash from UDF path entirely. Cache is now invalidated explicitly via InvalidateCache (called by Refresh Model button or bootstrap). UDFs only check m_cacheReady Boolean -- zero worksheet reads. Added RefreshModel button to Dashboard for input-change refresh.","","Compute Cache","2026-04-04"
"BUG-142","Setup option 3 still slow -- domain engine runs inside UDF context during CalculateFull","RunDomainCompute called from RDK_Value UDF during CalculateFull. Even with re-entry guard, the first UDF call runs the full domain engine (Initialize+Execute for 600 rows) inside UDF context where Excel serializes all worksheet access. Domain engine reads from UW Inputs cells during Initialize -- each read is throttled by Excel UDF sandbox.","Pre-fill cache in bootstrap BEFORE CalculateFull. Bootstrap calls Ins_FormulaAPI.ComputeToCache directly (not in UDF context -- full speed). Then MarkCacheReady so all UDF cells during CalculateFull just read from the pre-populated Dictionary cache (instant). Added MarkCacheReady and RefreshModel public methods.","","Compute Cache","2026-04-04"
"BUG-143","Setup option 3 still slow after pre-fill fix -- volatile UDFs cause 600+ VBA round-trips","Application.Volatile True on RDK_Value causes Excel to call the VBA function for every volatile cell during CalculateFull. Even with cache hits (instant Dictionary lookup), the Excel-to-VBA marshaling overhead per call is ~5-10ms. 600 cells x 10ms = 6 seconds minimum, plus Excel recalc overhead.","Removed Application.Volatile from RDK_Value and RDK_Compute. UDFs now evaluate once during CalculateFull and do not re-evaluate on subsequent calc cycles. Refresh Model button calls InvalidateCache + CalculateFull to force update after input changes.","","Compute Cache","2026-04-04"
"BUG-144","UW Exec Summary shows 0 in formula config (Option 3)","Ins_FormulaAPI.ComputeToCache used DetectEntityCount() which searches input_schema for EntityName parameter. Insurance input_schema only has FederalTaxRate and ScenarioName -- no EntityName. Returns 0, ComputeToCache exits silently, cache stays empty.","Changed to KernelConfig.GetMaxEntities() which reads from granularity_config (MaxEntities=10). Domain engine handles actual entity detection internally.","","Compute Cache","2026-04-04"
"BUG-145","UW Program Detail #REF! in formula config (Option 3) -- forward reference in CreateFormulaTabs","PD TOTAL rows (row 5) use {ROWID:PD_GEP_1} referencing per-program rows (row 28). CreateFormulaTabs processes rows in config order. When row 5 resolves {ROWID:PD_GEP_1}, row 28 hasn't been written to the sheet yet. ResolveRowID scans column A, finds nothing, returns 0 -> #REF!. Option 2 hides this because RunModel calls RefreshFormulaTabs which re-resolves with all RowIDs present.","Added RefreshFormulaTabs (with ClearRowIDCache) at end of bootstrap (Step 9k). Second pass resolves forward references correctly since first pass wrote all RowIDs to column A.","","Compute Cache","2026-04-04"
"BUG-146","Setup option 3 crashes with DISP_E_EXCEPTION during bootstrap","ComputeToCache called via Application.Run inside bootstrap. Domain engine Initialize reads from UW Inputs which may not have fully evaluated formulas yet. Runtime error in Application.Run context propagates as unhandled COM exception, crashing the entire bootstrap.","Isolated cache pre-fill into PreFillComputeCache with its own On Error GoTo handler. If cache pre-fill fails, bootstrap continues. UDFs will compute on first Refresh Model click. Also added RefreshFormulaTabs as Step 9k to resolve forward {ROWID:} references.","","Compute Cache","2026-04-04"
"BUG-147","Setup option 3 crashes DISP_E_EXCEPTION -- KernelBootstrap.bas at 63.7KB near 64KB VBA limit","KernelBootstrap.bas grew to 63,691 bytes after adding StampFingerprint (50 lines) and PreFillComputeCache (25 lines). VBA module import silently truncates at 65,536 bytes. Truncated module has missing End Sub, fails to compile, bootstrap macro cannot run.","Moved StampFingerprint and PreFillComputeCache from KernelBootstrap.bas to KernelComputeCache.bas. KernelBootstrap now 60.2KB (safe margin). KernelComputeCache now 13KB. Callers updated to KernelComputeCache.StampFingerprint / KernelComputeCache.PreFillComputeCache.","AP-09","Compute Cache","2026-04-04"
"BUG-148","Bootstrap crashes with DISP_E_EXCEPTION -- non-ASCII em-dashes in 3 .bas files","KernelBootstrap.bas line 1256, KernelConfigLoader.bas line 132, KernelEngine.bas line 1269 contained Unicode em-dash characters. VBA module import fails silently on non-ASCII (AP-06). Module compilation fails, bootstrap macro not found.","Replaced all em-dashes with ASCII double-hyphens (--). Full scan of all 39 .bas files confirms no remaining non-ASCII.","AP-06","Compute Cache","2026-04-04"
"BUG-149","Tail column shows 0 on UWEX after Run Model -- GetDataHorizonYears cache stale","GetDataHorizonYears() caches the max year from the Detail tab. During bootstrap, Detail is empty so it caches 0. RefreshFormulaTabs (called by RunModel) does not clear this cache before calling CreateFormulaTabs. The tail column condition (qsDataYears > numYears) evaluates to 0 > 5 = False. No tail column created despite run-off data existing in Detail.","Added KernelFormula.ClearRowIDCache call at start of RefreshFormulaTabs. This clears both the RowID cache and the data horizon cache, so GetDataHorizonYears re-scans Detail and finds years 6-20 from run-off data. Tail column now created correctly.","","Tail Column","2026-04-04"
"BUG-150","Balance Sheet doesn't balance when XOL expense is added","XOL expense hits Income Statement (reduces NI -> RE -> Equity) but there was no corresponding XOL Prepaid asset on the Balance Sheet. The timing difference between XOL Written (cash out) and XOL Earned (expense recognition) had no BS bridge.","Added BS_XOL_PREP asset = -UWEX_XOLUPR (XOL unearned premium reserve). Added to BS_TOTAL_A and INV_Q_POOL. Updated CFS_E_CUPR to include BS_XOL_PREP. Added UWEX_XOLUPR cumulative row using {PREV_Q:} pattern.","","BS Balance","2026-04-04"
"BUG-151","XOL RI Expense section inconsistent with Premium section presentation","XOL showed as positive expense amounts. Premium section shows ceded values as negative with Less: prefix and parentheses format. User requested consistency.","Restructured UWEX XOL section: renamed to XOL Reinsurance Expense, added Written Premium rows (CATXOLWP, OTHXOLWP) and Earned Premium rows (CATXOL, OTHXOL), all with =-{REF:} negation and #,##0;(#,##0) format. Total XOL RI Expense = sum of earned values. Added UWEX_XOLUPR for balance sheet bridge.","","Presentation","2026-04-04"
"BUG-152","Setup crashes with Compile error: Duplicate declaration in current scope","KernelFormulaWriter.bas had Dim fmFirstCol As Long declared twice in CreateFormulaTabs -- once at line 412 (batch NumberFormat) and again at line 550 (row-level formatting). VBA does not allow duplicate Dim in the same Sub scope, even inside If blocks.","Removed duplicate Dim statements at line 550-552. Variables fmFirstCol and fmLastCol reuse the declarations from line 412-414. fmDataRange declared only once at line 553.","AP-34","Row Formatting","2026-04-05"
"BUG-153","Investment Management Fee creates circular reference","INV_MGMT_FEE = INV_Q_INVESTED * fee. But INV_Q_INVESTED derives from BS_TOTAL_LE which includes Retained Earnings which includes Net Income which includes investment income net of fees. Chain: Pool -> Invested -> Fee -> NI -> RE -> Total_LE -> Pool.","Changed fee formula from ={REF:Investments!INV_Q_INVESTED} (current quarter) to ={PREV_Q:INV_Q_INVESTED} (prior quarter BOQ). Same pattern as investment income formulas. Q1 fee = 0 (no prior assets).","","Circular Reference","2026-04-05"
"BUG-154","CFS #REF! and BS imbalance after expense expansion","CFS_D_RSV label and formula were on different rows (label=7, formula=6) after Python row-shift script. CFS_EQCOMP was at row 6 (correct) but CFS_D_RSV formula also at row 6 caused RowID collision. CFS_CFO referenced CFS_EQCOMP which resolved to the wrong row -> #REF!. BS imbalance was downstream consequence (CFS Cash computation broken -> Cash wrong -> Assets != Liabilities+Equity).","Fixed CFS_D_RSV formula row from 6 to 7 (matching its label). Now CFS_EQCOMP=6, CFS_D_RSV=7, no collision. CFS_CFO resolves all RowIDs correctly.","","CFS Row Numbering","2026-04-05"
"BUG-155","Inconsistent number format on negative-value total rows","Total/net rows that sum negative Less: values (UWEX_NCOMM, UWEX_NACQ, PD_NCOMM, PD_NACQ, PD_NULT per program) used plain #,##0 format showing minus signs. The Less: detail rows correctly used #,##0;(#,##0) parentheses format. Inconsistent presentation.","Changed all net/total rows that can be negative to use #,##0;(#,##0) parentheses format. Affected: UWEX_NCOMM, UWEX_NACQ, PD_NCOMM_TOTAL, PD_NACQ_TOTAL, PD_NULT_TOTAL, and all 10 per-program variants. UWEX_CRSV (Less: Ceded Loss Reserve) intentionally left positive -- the Less: means Net=Gross-Ceded where subtraction is in the net formula, not in the display value.","","Presentation","2026-04-05"
"BUG-156","Less: Ceded Loss Reserve shown as positive -- inconsistent with Less: sign convention","UWEX_CRSV (Less: Ceded Loss Reserve) displayed as positive value while all other Less: rows (CWP, CEP, CLLAE, CEDCOMM, GFFE, XOL rows) displayed as negative with parentheses. Decision was to show all Less: rows as negative consistently.","Negated UWEX_CRSV formula (added =- prefix). Added #,##0;(#,##0) format. Fixed 2 downstream references: UWEX_NRSV changed from Gross-Ceded to Gross+Ceded (since Ceded is now negative). BS_RI_RECV changed from =CRSV to =-CRSV (negate back to positive for asset). RBC_R5 already used ABS() -- no change needed.","","Sign Convention","2026-04-05"
"BUG-157","BS imbalance when no equity is raised -- MAX(0) pool floor creates cash gap","INV_Q_POOL = MAX(0, Total_LE - non-cash assets). When Total Equity is negative (expenses exceed revenue with no equity raised), Total_LE < sum of other assets. Pool floors at 0, Cash = 0. But actual cash position should be negative. The MAX(0) prevents negative cash, creating a gap between Total Assets and Total L&E equal to the unfunded cash deficit.","Not a code bug -- expected behavior. When equity is raised (Capital Activity), pool becomes positive and BS balances. The MAX(0) guard prevents Excel from producing nonsensical negative invested/liquid splits. User must raise equity to fund operations. Could add a warning row when pool hits floor.","","BS Balance","2026-04-05"
"BUG-158","BS must balance regardless of capitalization -- MAX(0) pool guard broke BS identity","INV_Q_POOL used MAX(0,...) to prevent negative investable pool. When company is undercapitalized (expenses > revenue, no equity), Total_LE < non-cash assets, making true pool negative. MAX(0) floored pool at 0, which made Cash=0 instead of the actual deficit. BS_CHECK = the unfunded cash gap. BS identity violated.","Removed MAX(0) from INV_Q_POOL. Pool can now go negative (= undercapitalized). INV_Q_LIQUID: IF pool<0, Liquid=pool (cash deficit); else existing MIN/MAX formula. INV_Q_INVESTED: MAX(0, pool-liquid) already handles negative pool (=0). BS_CASH = Liquid = negative when undercapitalized. BS always balances.","","BS Balance","2026-04-05"
"BUG-159","Workspace save fails with empty error -- version folders empty","ExportStateToFolder calls ExportDetailToFile first. If Detail is empty (model not run), it raises error, aborting entire export. Version folder created but no CSVs.","Made ExportDetailToFile use On Error Resume Next so it skips if Detail empty. Other exports proceed. Also wrapped configHash in WriteWsJson with error handler.","","Workspace Save","2026-04-05"
"BUG-160","Domain input tabs not restored on workspace load","LoadWorkspace and LoadWorkspaceInputsOnly export domain input tabs (UW Inputs, Assumptions, etc.) to input_tabs/ on save via KernelTabIO.ExportAllInputTabs, but neither load function calls KernelTabIO.ImportAllInputTabs. Only kernel inputs.csv is restored. UW Inputs tab unchanged after load.","Added KernelTabIO.ImportAllInputTabs verDir call to both LoadWorkspace (after ImportInputsFromCsv) and LoadWorkspaceInputsOnly (after ImportInputsFromCsv).","AP-45","Workspace Load","2026-04-05"
"BUG-161","ExportAllInputTabs exports Kernel tabs -- destroys Dashboard buttons and Curve Reference UDFs on import","ExportAllInputTabs filtered only by Category=Input, not by Type. Kernel tabs (Dashboard, Cover Page, User Guide, Curve Reference) were exported. ImportTabFromCSV does ws.Cells.ClearContents which destroys buttons, formatting, and UDF formulas on these tabs.","Added Type=Domain filter to ExportAllInputTabs. Only Domain Input tabs (UW Inputs, Sales Funnel, Capital Activity, Investments, etc.) are now exported. Kernel Input tabs excluded.","AP-45","Workspace Save","2026-04-05"
"BUG-162","ExportAllInputTabs exports Assumptions kernel tab -- ClearContents destroys section layout on import","Assumptions tab has Category=Input and Type=Kernel. ExportTabToCSV captures raw cell values. ImportTabFromCSV clears tab and writes flat values, destroying section formatting and layout. Kernel Inputs tab is already handled separately by ImportInputsFromCsv.","Fixed by BUG-161 Domain-only filter. Assumptions tab (Type=Kernel) now excluded from input_tabs export.","","Workspace Save","2026-04-05"
"BUG-163","Other Revenue Detail quarterly headers overwrite Platform Subscription input row","Header detection finds first quarterly cell (row 9, col C) and places headers at row 8 (hdrRow-1). Row 8 has the Platform Subscription rate label and input. Headers overwrite the input, causing #VALUE! cascade in all formulas referencing $C$8. Root cause: static rate inputs (numeric col) mixed between section header and quarterly data.","Consolidated all 6 rate inputs (Platform rate, API rate, Analytics rate, Carrier rate, Oversight rate, Policy fee rate) into Revenue Model Parameters section (rows 5-11). Technology Revenue section starts at row 13, first quarterly at row 14. Headers now land on row 13 (section header). Updated all $C$ formula references to new row numbers.","AP-08","Other Revenue Detail","2026-04-05"
"BUG-164","Assumption edits lost on workspace save/load","AddAssumption and EditAssumption write changes to Config sheet only. SaveConfigToSnapshot copies the original CSV from disk (unchanged). On workspace load, LoadConfigFromDisk reloads the stale CSV, overwriting user edits.","Added SyncAssumptionsToCSV to KernelAssumptions.bas -- exports Config sheet assumptions_config section back to config/assumptions_config.csv. Called in ExportStateToFolder before SaveConfigToSnapshot.","AP-45","Workspace Save","2026-04-05"
